Category,Product Name,Price,Company Name,Product URL,Description
Industrial Machinery,Rounak Heat Setter Machine,"₹ 15,000/Piece",Rounak Udyog,https://www.indiamart.com/proddetail/heat-setter-machine-8951723312.html,Application Application Shoes Industry Shoes Industry Machine Type Machine Type Automatic Automatic Material of Construction Material of Construction Stainless steel Stainless steel Power Source Power Source Electric Electric Voltage Voltage 240V 240V Brand Brand Rounak Rounak
Industrial Machinery,Single Manual Notebook Making Machine,"₹ 98,000/Piece",ASV Engineering,https://www.indiamart.com/proddetail/manual-notebook-making-machine-21102601348.html,Automation Grade Automation Grade Manual Manual Phase Phase SINGLE SINGLE Brand Brand ASV ASV Notebook Size Notebook Size ALL ALL Machine Weight Machine Weight 250-500 kg 250-500 kg Motor Rated Speed Motor Rated Speed 1420 r/min 1420 r/min
Industrial Machinery,Smt Led Pick Place Machine,"₹ 2,00,000/Piece",JVA Smt Traders,https://www.indiamart.com/proddetail/smt-led-pick-place-machine-2855350789762.html,Output Capacity Output Capacity 5000 CPH 5000 CPH Machine Material Machine Material Mild Steel Mild Steel Material Material Mild Steel Mild Steel Voltage Voltage 220 V 220 V Feeder Feeder 30 30 Nozzle Nozzle 2 Head 2 Head
Industrial Machinery,"Swarnabha Industries Chappal Making Machine, 6 kW, Production Capacity: 500 Pairs Per Day","₹ 65,000/Unit",Swarnabha Industries Private Limited,https://www.indiamart.com/proddetail/chappal-making-machine-22200722033.html,Brand Brand Swarnabha Industries Swarnabha Industries Production Capacity Production Capacity 500 Pairs Per Day 500 Pairs Per Day Power Consumption Power Consumption 6 kW 6 kW Weight Weight 105 kg 105 kg Machine Material Machine Material MS Steel MS Steel Raw Material Raw Material Rubber Rubber
Industrial Machinery,Bottle Cap Making Machine,"₹ 15,00,000/Piece",Sumitek Natraj Machinery Private Limited,https://www.indiamart.com/proddetail/bottle-cap-making-machine-10711587248.html,Machine Material Machine Material Stainless Steel Stainless Steel Automation Grade Automation Grade Automatic Automatic
Industrial Machinery,SMT HW T4 50F Head Desk Pick And Place Machine,"₹ 8,10,000/Piece",Abtektron Private Limited,https://www.indiamart.com/proddetail/smt-hw-t4-50f-head-desk-pick-and-place-machine-2856160536448.html,Output Capacity Output Capacity 50000 CPH 50000 CPH Material Material Stainless Steel Stainless Steel Frequency Frequency 50 Hz 50 Hz Voltage Voltage 220 V 220 V Colour Colour White White Phase Phase Single Phase Single Phase
Industrial Machinery,Special Purpose Machines Manufacturing,"₹ 1,00,000/Piece",House Of Grid,https://www.indiamart.com/proddetail/special-purpose-machines-manufacturing-2851978137097.html,Machine Material Machine Material Mild Steel Mild Steel Service Location Service Location India India Payment Mode Payment Mode Offline and Online Offline and Online Service Duration Service Duration Purpose Solution Purpose Solution Service Mode Service Mode Offline Offline
Industrial Machinery,"Fully Automatic Sanitary Napkin Making Machine, Machine Capacity(Piece/Hour): 2000","₹ 16,00,000/Piece",Samson Engineering,https://www.indiamart.com/proddetail/fully-automatic-sanitary-napkin-making-machine-2854114800488.html,Type of Machine Type of Machine Napkin Making Machine Napkin Making Machine Machine Capacity(Piece/Hour) Machine Capacity(Piece/Hour) 2000 2000 Machine Material Machine Material Mild Steel Mild Steel Speed Speed 100 RPM 100 RPM Voltage Voltage 230 V 230 V Automation Grade Automation Grade Automatic Automatic
Industrial Machinery,"Automatic Pick And Place System, Output Capacity: Up to 6000 CPH","₹ 3,00,000/Piece",Dat Cam Automation,https://www.indiamart.com/proddetail/automatic-pick-and-place-system-24576830033.html,Output Capacity Output Capacity Up to 6000 CPH Up to 6000 CPH Machine Material Machine Material Mild Steel Mild Steel Model Name/Number Model Name/Number DatCAM DatCAM Brand Brand DatCAM DatCAM Country of Origin Country of Origin Made in India Made in India
Industrial Machinery,Automatic Jerry Can Blow Molding Machine,"₹ 23,75,000/Piece",Blow Engineering,https://www.indiamart.com/proddetail/automatic-jerry-can-blow-molding-machine-24775498448.html,Machine Type Machine Type Continuous Extrusion Blow Moulding Double Machine Continuous Extrusion Blow Moulding Double Machine Capacity Capacity 2 Ltrs. to 5 Ltrs. 2 Ltrs. to 5 Ltrs. Brand Brand BLOW ENGINEERING Plastic Machine BLOW ENGINEERING Plastic Machine Material Material HDPE HDPE Hydraulic Double Station PLC Controlled Hydraulic Double Station PLC Controlled Tie Bar less Model Tie Bar less Model Country of Origin Country of Origin Made in India Made in India
Industrial Machinery,"10 hp Mild Steel Cocopeat Block Making Machine, Automation Grade: Fully Automatic, Capacity: 50 to 60","₹ 7,25,000/Piece",Pathak Machines Industries,https://www.indiamart.com/proddetail/cocopeat-block-making-machine-21307282412.html,Capacity Capacity 50 to 60 50 to 60 Usage/Application Usage/Application Brick Making Brick Making Automation Grade Automation Grade Fully Automatic Fully Automatic Power Power 10 hp 10 hp Material Material Mild Steel Mild Steel Block Type Block Type Solid Solid
Industrial Machinery,Customised Machines Equipment,"₹ 15,00,000/Piece",Labh Projects Private Limited ( Labh Group of...,https://www.indiamart.com/proddetail/customised-machines-equipment-2853890495148.html,Machine Material Machine Material Mild Steel Mild Steel Phase Phase 3 phase 3 phase Power Source Power Source Electric Electric Voltage Voltage 440 V 440 V Switch Gears Switch Gears Schneider - France or equivalent Schneider - France or equivalent Main Motor Main Motor Havells - India or equivalent Havells - India or equivalent
Industrial Machinery,"Charcoal Briquette Making Machine, Production Capacity: 200 kg Per Hour","₹ 1,52,000/Piece",Arihant Engineering,https://www.indiamart.com/proddetail/charcoal-briquette-making-machine-2850454376812.html,Production Capacity Production Capacity 200 kg per hour 200 kg per hour Machine Material Machine Material Mild Steel Mild Steel Brand Brand Arihant Arihant Automation Grade Automation Grade Semi Semi Power Consumption Power Consumption 5 HP 5 HP Phase Phase 3 3
Industrial Machinery,PAPER STRAW MAKING LINE WITH CUSTOMIZED SHAPE,"₹ 12,50,000/Piece",Mechanical Systems,https://www.indiamart.com/proddetail/paper-straw-making-line-with-customized-shape-26056081855.html,Frequency Frequency 50hz 50hz Voltage Voltage 220V 220V Automation Grade Automation Grade AUTOMATIC AUTOMATIC Body Material Body Material SS304 SS304 Capacity Capacity 250 PCS/MIN 250 PCS/MIN Machine Type Machine Type MECHANICAL MECHANICAL
Industrial Machinery,"Stainless Steel Intercooler Tube Expansion Machine, For Industrial, Max Force Or Load: 30-60 ton","₹ 25,00,000/Piece",D.k.k. Services,https://www.indiamart.com/proddetail/intercooler-tube-expansion-machine-13082958912.html,Control Type Control Type Non-CNC Non-CNC Automation Grade Automation Grade Automatic Automatic Usage/Application Usage/Application Industrial Industrial Max Force Or Load Max Force Or Load 30-60 ton 30-60 ton Material Material Stainless Steel Stainless Steel
